"Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Vorticity: Magnitude (/s)","Vorticity[i] (/s)","Vorticity[j] (/s)","Vorticity[k] (/s)","Total Pressure (Pa)","Static Pressure (Pa)","Q-Criterion (/s^2)","Relative Total Pressure (Pa)","Pressure (Pa)","Mass Flow Rate (kg/s)","Mass Flux (kg/m^2-s)","Normal: Magnitude","Normal[i]","Normal[j]","Normal[k]","Centroid: Magnitude (m)","Centroid[X] (m)","Centroid[Y] (m)","Centroid[Z] (m)","Density (kg/m^3)","Area: Magnitude (m^2)","Area[i] (m^2)","Area[j] (m^2)","Area[k] (m^2)","Absolute Total Pressure (Pa)","Absolute Pressure (Pa)","X (m)","Y (m)","Z (m)"
43.809447822756994,43.809447822756994,-0,-0,82710.655427738238,0.096705790668589794,82710.655427681675,0.0019016236871279818,102459.74368697977,101323.39325252823,0.65896296501159668,102459.74368697977,101323.39325252823,-0.00021692938424195855,51.876957639317702,1,-1,0,0,4.4628247647214661,-4,1.9790919327083334,5.0000000000000002e-05,1.18415,4.1816134583333221e-06,-4.1816134583333221e-06,0,0,203784.74368697975,202648.39325252821,-4,1.9790919327083334,5.0000000000000002e-05
43.809447822756994,43.809447822756994,-0,-0,82710.620460667822,0.24553765268181024,82710.620460303209,0.0051635467742252366,102459.75123183899,101323.40079738745,0.55577611923217773,102459.75123183899,101323.40079738745,-0.00021692938424195966,51.876957639317695,1,-1,0,0,4.4444389432751636,-4,1.9372757981250002,5.0000000000000002e-05,1.18415,4.1816134583333441e-06,-4.1816134583333441e-06,0,0,203784.75123183901,202648.40079738747,-4,1.9372757981250002,5.0000000000000002e-05
60.427071326468287,60.427071326468287,-0,-0,112501.6808114294,0.059983744724368841,112501.6808114134,0.0013892393964774997,103485.31423181899,101323.39325263411,0.76635169982910156,103485.31423181899,101323.39325263411,-0.0003019550815835591,71.55471651123743,1,-1,0,0,4.4628247669776169,-4,1.9790919327083334,0.00015045801909273181,1.18415,4.2199186343801396e-06,-4.2199186343801396e-06,0,0,204810.31423181901,202648.39325263409,-4,1.9790919327083334,0.00015045801909273181
43.809447822756994,43.809447822756994,-0,-0,82710.613858081619,0.43135553588469927,82710.613856956334,0.0088707923498150404,102459.76672032352,101323.41628587198,0.65401959419250488,102459.76672032352,101323.41628587198,-0.00021692938424195966,51.876957639317695,1,-1,0,0,4.4263718030248533,-4,1.8954596635416665,5.0000000000000002e-05,1.18415,4.1816134583333441e-06,-4.1816134583333441e-06,0,0,203784.76672032353,202648.41628587199,-4,1.8954596635416665,5.0000000000000002e-05
60.427071326468287,60.427071326468287,-0,-0,112501.69849210503,0.15188780357257314,112501.69849200244,0.0037612725518588516,103485.32177666732,101323.40079748243,0.8270268440246582,103485.32177666732,101323.40079748243,-0.00030195508158356062,71.554716511237416,1,-1,0,0,4.4444389455406483,-4,1.9372757981250002,0.00015045801909273181,1.18415,4.2199186343801616e-06,-4.2199186343801616e-06,0,0,204810.32177666732,202648.40079748243,-4,1.9372757981250002,0.00015045801909273181
66.495039477175055,66.495039477175055,-0,-0,50506.581798152081,0.018331039133955687,50506.581798148734,0.0012657621477188169,103941.30631488784,101323.39325277515,0.49649345874786377,103941.30631488784,101323.39325277515,-0.00033833675544819137,78.740100996896842,1,-1,0,0,4.4628247715727776,-4,1.9790919327083334,0.00025229429109344429,1.18415,4.2968798765133059e-06,-4.2968798765133059e-06,0,0,205266.30631488783,202648.39325277513,-4,1.9790919327083334,0.00025229429109344429
43.809447822756994,43.809447822756994,-0,-0,82710.597439838573,0.5974227406385153,82710.597437680059,0.012305133120844433,102459.78967565618,101323.43924120464,0.57681632041931152,102459.78967565618,101323.43924120464,-0.00021692938424195855,51.876957639317702,1,-1,0,0,4.4086272619659175,-4,1.8536435289583333,5.0000000000000002e-05,1.18415,4.1816134583333221e-06,-4.1816134583333221e-06,0,0,203784.78967565618,202648.43924120464,-4,1.8536435289583333,5.0000000000000002e-05
60.427071326468287,60.427071326468287,-0,-0,112501.69552238259,0.26701316679857379,112501.69552206554,0.0064348430932821971,103485.33726515813,101323.41628597325,0.77137613296508789,103485.33726515813,101323.41628597325,-0.00030195508158356067,71.554716511237416,1,-1,0,0,4.4263718052995848,-4,1.8954596635416665,0.00015045801909273181,1.18415,4.2199186343801624e-06,-4.2199186343801624e-06,0,0,204810.33726515813,202648.41628597325,-4,1.8954596635416665,0.00015045801909273181
66.495039477175055,66.495039477175055,-0,-0,50506.584528109241,0.04641723254294821,50506.584528087798,0.0034213651110553281,103941.31385973314,101323.40079762044,0.46894490718841553,103941.31385973314,101323.40079762044,-0.00033833675544819316,78.740100996896842,1,-1,0,0,4.4444389501548187,-4,1.9372757981249999,0.00025229429109344429,1.18415,4.2968798765133288e-06,-4.2968798765133288e-06,0,0,205266.31385973314,202648.40079762044,-4,1.9372757981249999,0.00025229429109344429
70.809632138787308,70.809632138787308,-0,-0,33759.432390716021,0.010709682257909503,33759.432390714297,0.0011882889380662022,104292.05967338607,101323.39325293661,0.30241525173187256,104292.05967338607,101323.39325293661,-0.00037004358644502868,83.84922589714499,1,-1,0,0,4.4628247786757074,-4,1.9790919327083334,0.00035644167514031549,1.18415,4.4132021790988105e-06,-4.4132021790988105e-06,0,0,205617.05967338607,202648.3932529366,-4,1.9790919327083334,0.00035644167514031549
43.809447822756994,43.809447822756994,-0,-0,82710.574913049553,0.76471383409693239,82710.574909512914,0.015747908955145783,102459.8201596116,101323.46972516006,0.6345665454864502,102459.8201596116,101323.46972516006,-0.00021692938424195966,51.876957639317695,1,-1,0,0,4.3912092308961661,-4,1.8118273943750001,5.0000000000000002e-05,1.18415,4.1816134583333441e-06,-4.1816134583333441e-06,0,0,203784.82015961158,202648.46972516004,-4,1.8118273943750001,5.0000000000000002e-05
60.427071326468287,60.427071326468287,-0,-0,112501.69846561944,0.36959633673253001,112501.69846501197,0.0089337375304301917,103485.3602204863,101323.43924130141,0.80316734313964844,103485.3602204863,101323.43924130141,-0.0003019550815835591,71.55471651123743,1,-1,0,0,4.4086272642498043,-4,1.8536435289583333,0.00015045801909273181,1.18415,4.2199186343801396e-06,-4.2199186343801396e-06,0,0,204810.3602204863,202648.43924130141,-4,1.8536435289583333,0.00015045801909273181
66.495039477175055,66.495039477175055,-0,-0,50506.584174170777,0.081599667028515982,50506.584174104522,0.0058482448942621737,103941.32934821968,101323.41628610698,0.49632394313812256,103941.32934821968,101323.41628610698,-0.00033833675544819316,78.740100996896842,1,-1,0,0,4.4263718099325882,-4,1.8954596635416667,0.00025229429109344429,1.18415,4.2968798765133288e-06,-4.2968798765133288e-06,0,0,205266.32934821968,202648.41628610698,-4,1.8954596635416667,0.00025229429109344429
70.809632138787308,70.809632138787308,-0,-0,33759.433402820447,0.027118392567545106,33759.433402809402,0.0032133833137418435,104292.06721821638,101323.40079776692,0.32974588871002197,104292.06721821638,101323.40079776692,-0.00037004358644503063,83.84922589714499,1,-1,0,0,4.4444389572871312,-4,1.9372757981249999,0.00035644167514031555,1.18415,4.4132021790988334e-06,-4.4132021790988334e-06,0,0,205617.06721821637,202648.40079776692,-4,1.9372757981249999,0.00035644167514031555
73.61214938206092,73.61214938206092,-0,-0,23866.659051682105,0.0068835499616120592,23866.659051681087,0.001144221086803344,104531.69879294721,101323.39325311202,0.24162501096725464,104531.69879294721,101323.39325311202,-0.00039835270536953864,87.167826690767441,1,-1,0,0,4.4628247885472634,-4,1.9790919327083334,0.00046385420104037573,1.18415,4.5699510988465541e-06,-4.5699510988465541e-06,0,0,205856.69879294722,202648.39325311204,-4,1.9790919327083334,0.00046385420104037573
43.809447822756994,43.809447822756994,-0,-0,82710.54891708889,0.92776937004468552,82710.548911883263,0.019099708049766604,102459.85800478446,101323.50757033292,0.54639554023742676,102459.85800478446,101323.50757033292,-0.00021692938424195855,51.876957639317702,1,-1,0,0,4.3741216103681069,-4,1.7700112597916666,5.0000000000000002e-05,1.18415,4.1816134583333221e-06,-4.1816134583333221e-06,0,0,203784.85800478444,202648.50757033291,-4,1.7700112597916666,5.0000000000000002e-05
60.427071326468287,60.427071326468287,-0,-0,112501.70416029864,0.47308619652134387,112501.70415930336,0.011432996543638576,103485.39070444461,101323.46972525973,0.74172496795654297,103485.39070444461,101323.46972525973,-0.00030195508158356062,71.554716511237416,1,-1,0,0,4.3912092331891124,-4,1.8118273943750001,0.00015045801909273181,1.18415,4.2199186343801616e-06,-4.2199186343801616e-06,0,0,204810.39070444461,202648.46972525973,-4,1.8118273943750001,0.00015045801909273181
66.495039477175055,66.495039477175055,-0,-0,50506.584356158659,0.11295167755950931,50506.584356031701,0.0081203755435226479,103941.3523035533,101323.4392414406,0.45885443687438965,103941.3523035533,101323.4392414406,-0.00033833675544819137,78.740100996896842,1,-1,0,0,4.4086272689014558,-4,1.8536435289583333,0.00025229429109344429,1.18415,4.2968798765133059e-06,-4.2968798765133059e-06,0,0,205266.35230355331,202648.43924144062,-4,1.8536435289583333,0.00025229429109344429
