"Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Vorticity: Magnitude (/s)","Vorticity[i] (/s)","Vorticity[j] (/s)","Vorticity[k] (/s)","Total Pressure (Pa)","Static Pressure (Pa)","Q-Criterion (/s^2)","Relative Total Pressure (Pa)","Pressure (Pa)","Mass Flow Rate (kg/s)","Mass Flux (kg/m^2-s)","Normal: Magnitude","Normal[i]","Normal[j]","Normal[k]","Centroid: Magnitude (m)","Centroid[X] (m)","Centroid[Y] (m)","Centroid[Z] (m)","Density (kg/m^3)","Area: Magnitude (m^2)","Area[i] (m^2)","Area[j] (m^2)","Area[k] (m^2)","Absolute Total Pressure (Pa)","Absolute Pressure (Pa)","X (m)","Y (m)","Z (m)"
22.249677273989235,21.373323190871705,6.1829761905653164,-4.6056618247722664e-05,41345.220250036844,28805.132515041812,-29659.594609028922,5.0934271720778934,101618.10562677804,101325,9.4557418823242188,101618.10562677804,101325,0.00010545607596522885,-25.309458231654876,1,1,0,0,5.3183791001112359,5,1.8125,5.0000000000000002e-05,1.18415,4.1666666666666745e-06,4.1666666666666745e-06,0,0,202943.10562677804,202650,5,1.8125,5.0000000000000002e-05
15.248650034914281,15.231775873610459,0.717169168983679,8.0304958296030984e-05,35687.485269421275,29198.168886936615,-20519.757141771985,-55.72564745905796,101462.67006520886,101325,-536.10576045513153,101462.67006520886,101325,7.5842340030246347e-05,-18.036936382507548,1,1,0,0,5.3327229489647587,5,1.8541666666666665,0.00015045801909273181,1.18415,4.2048349243943235e-06,4.2048349243943235e-06,0,0,202787.67006520886,202650,5,1.8541666666666665,0.00015045801909273181
24.725683671582161,24.725618809647603,0.056423502936074614,-0.004888298464560575,25276.316758403165,592.75048031239623,25269.253578949374,-75.228332271953477,101686.97063630955,101325,-298.97468334436417,101686.97063630955,101325,0.00012535959235904592,-29.279218797159363,1,1,0,0,5.3473529985807167,5,1.8958333333333333,0.00025229429109344429,1.18415,4.2815210756650436e-06,4.2815210756650436e-06,0,0,203011.97063630953,202650,5,1.8958333333333333,0.00025229429109344429
24.294964220078988,24.288095150074859,0.57768281646656339,0.001731873990085845,6139.1437785323451,6136.8396038464543,159.14832236299782,54.385858852636837,101674.46947797779,101325,3464.7582127284259,101674.46947797779,101325,0.00012647142741131423,-28.760320592378765,1,1,0,0,5.3622669065471431,5,1.9374999999999998,0.00035644167514031549,1.18415,4.3974275949075496e-06,4.3974275949075496e-06,0,0,202999.46947797778,202650,5,1.9374999999999998,0.00035644167514031549
21.235670680106338,21.235523045599674,-0.066583323563930583,0.042858776887348231,507.20553079808064,62.908790397091124,502.504914433419,-28.084613816106675,101591.99841739467,101325,-110.87239198496536,101591.99841739467,101325,0.00011450760622460221,-25.146521015046293,1,1,0,0,5.3774623113142468,5,1.9791666666666667,0.00046385420104037573,1.18415,4.5536162300974822e-06,4.5536162300974822e-06,0,0,202916.99841739467,202650,5,1.9791666666666667,0.00046385420104037573
22.464922801807671,21.604879516062415,6.1564549524447854,-7.8249404220476877e-05,44231.309375550241,28162.006542628638,-34107.331876192002,5.3717666762518821,101623.80412229951,101325,33.704117476940155,101623.80412229951,101325,0.00010659807789571162,-25.583538694970876,1,1,0,0,5.3043237737664963,5,1.7708333333333333,5.0000000000000002e-05,1.18415,4.1666666666666525e-06,4.1666666666666525e-06,0,0,202948.80412229951,202650,5,1.7708333333333333,5.0000000000000002e-05
15.89008149424405,15.882287971188207,0.49761291078515285,-0.00029152623119958233,30082.02692060843,29977.394303779649,-2506.8255633522062,-0.053419828471348962,101474.49579351883,101325,74.760155618190765,101474.49579351883,101325,7.9081975481991648e-05,-18.807391230318714,1,1,0,0,5.318379102004446,5,1.8125,0.00015045801909273181,1.18415,4.2048349243943235e-06,4.2048349243943235e-06,0,0,202799.49579351884,202650,5,1.8125,0.00015045801909273181
17.065751671790469,17.061918640155387,0.36167950671617616,0.00061184867947630054,16236.21824571288,2089.9034180144872,16101.087476944303,-45.482805306460016,101497.43585202396,101325,-129.39011467993259,101497.43585202396,101325,8.6504154200535435e-05,-20.204070626254797,1,1,0,0,5.3327229528103359,5,1.8541666666666667,0.00025229429109344429,1.18415,4.2815210756650673e-06,4.2815210756650673e-06,0,0,202822.43585202395,202650,5,1.8541666666666667,0.00025229429109344429
25.686301770202224,25.686279686686206,0.033212757587610144,-0.0056035666283589906,8640.1900556556811,206.58903628549825,8637.4458821905046,-68.802617451981746,101715.6428543463,101325,-35.767229810357094,101715.6428543463,101325,0.00013375554530916449,-30.416770355482626,1,1,0,0,5.3473530045087214,5,1.8958333333333333,0.00035644167514031555,1.18415,4.3974275949075259e-06,4.3974275949075259e-06,0,0,203040.64285434631,202650,5,1.8958333333333333,0.00035644167514031555
23.344942183618794,23.344091649537877,0.19927307151001644,0.00092598664774619973,8839.026089339086,2478.8014926635774,-8484.0942954999155,63.791481027133401,101647.67277870387,101325,1478.1422439478338,101647.67277870387,101325,0.00012587305484351575,-27.642438115787616,1,1,0,0,5.3622669147628894,5,1.9374999999999998,0.00046385420104037573,1.18415,4.5536162300974822e-06,4.5536162300974822e-06,0,0,202972.67277870385,202650,5,1.9374999999999998,0.00046385420104037573
21.266168140256887,21.265992847406356,-0.074383910454992014,0.04384766361202775,255.90662473903524,67.71124869106518,243.40363930071584,-40.719230852131133,101592.76586390591,101325,-45.533708387238221,101592.76586390591,101325,0.00011965559360157568,-25.182604892108049,1,1,0,0,5.3774623221053712,5,1.9791666666666667,0.00057551580854683969,1.18415,4.751517728774533e-06,4.751517728774533e-06,0,0,202917.76586390589,202650,5,1.9791666666666667,0.00057551580854683969
22.68695448556953,21.845326424126657,6.1220598860117956,-7.5777709000755556e-05,43772.073603601937,28379.418842051953,-33325.710548040675,5.4967938757235304,101629.73976141032,101325,24.831875801086426,101629.73976141032,101325,0.00010778473609931748,-25.868336663836146,1,1,0,0,5.2905592675643573,5,1.7291666666666665,5.0000000000000002e-05,1.18415,4.1666666666666745e-06,4.1666666666666745e-06,0,0,202954.73976141034,202650,5,1.7291666666666665,5.0000000000000002e-05
