"Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Vorticity: Magnitude (/s)","Vorticity[i] (/s)","Vorticity[j] (/s)","Vorticity[k] (/s)","Total Pressure (Pa)","Static Pressure (Pa)","Q-Criterion (/s^2)","Relative Total Pressure (Pa)","Pressure (Pa)","Mass Flow Rate (kg/s)","Mass Flux (kg/m^2-s)","Normal: Magnitude","Normal[i]","Normal[j]","Normal[k]","Centroid: Magnitude (m)","Centroid[X] (m)","Centroid[Y] (m)","Centroid[Z] (m)","Density (kg/m^3)","Area: Magnitude (m^2)","Area[i] (m^2)","Area[j] (m^2)","Area[k] (m^2)","Absolute Total Pressure (Pa)","Absolute Pressure (Pa)","X (m)","Y (m)","Z (m)"
8.6034731133581293,8.6034731133581293,-0,-0,42637.189030743655,0.09964856370924495,42637.189030627196,0.0010023527767051954,101368.62072376932,101324.79548051763,0.83812332153320312,101368.62072376932,101324.79548051763,-4.2601452827568941e-05,10.18780268718303,1,-1,0,0,4.4628247647214661,-4,1.9790919327083334,5.0000000000000002e-05,1.18415,4.1816134583333221e-06,-4.1816134583333221e-06,0,0,202693.6207237693,202649.79548051761,-4,1.9790919327083334,5.0000000000000002e-05
8.6034731133581293,8.6034731133581293,-0,-0,42637.112648433947,0.25309796116212263,42637.112647682654,0.0027430233503568861,101368.62156742296,101324.79632417127,0.66367030143737793,101368.62156742296,101324.79632417127,-4.2601452827569164e-05,10.18780268718303,1,-1,0,0,4.4444389432751636,-4,1.9372757981250002,5.0000000000000002e-05,1.18415,4.1816134583333441e-06,-4.1816134583333441e-06,0,0,202693.62156742296,202649.79632417127,-4,1.9372757981250002,5.0000000000000002e-05
17.169606612101081,17.169606612101081,-0,-0,56816.965164250818,0.056681117481755,56816.965164222536,0.00052375302386688163,101499.33646184971,101324.7954805965,0.8406749963760376,101499.33646184971,101324.7954805965,-8.579681013009318e-05,20.331389669719499,1,-1,0,0,4.4628247669776169,-4,1.9790919327083334,0.00015045801909273181,1.18415,4.2199186343801396e-06,-4.2199186343801396e-06,0,0,202824.33646184971,202649.79548059648,-4,1.9790919327083334,0.00015045801909273181
8.6034731133581293,8.6034731133581293,-0,-0,42637.05133730208,0.44282154555536501,42637.051335002259,0.0049204660788215457,101368.62328805061,101324.79804479892,0.76416265964508057,101368.62328805061,101324.79804479892,-4.2601452827569164e-05,10.18780268718303,1,-1,0,0,4.4263718030248533,-4,1.8954596635416665,5.0000000000000002e-05,1.18415,4.1816134583333441e-06,-4.1816134583333441e-06,0,0,202693.62328805061,202649.79804479892,-4,1.8954596635416665,5.0000000000000002e-05
17.169606612101081,17.169606612101081,-0,-0,56817.006021784684,0.14416622577075838,56817.006021601766,0.0014332265389423887,101499.33730548742,101324.79632423421,0.91030561923980713,101499.33730548742,101324.79632423421,-8.5796810130093628e-05,20.331389669719499,1,-1,0,0,4.4444389455406483,-4,1.9372757981250002,0.00015045801909273181,1.18415,4.2199186343801616e-06,-4.2199186343801616e-06,0,0,202824.33730548742,202649.79632423422,-4,1.9372757981250002,0.00015045801909273181
20.058224447058478,20.058224447058478,-0,-0,23266.074628401402,0.010620074315080715,23266.074628398972,0.00045747627009230492,101563.00641749936,101324.79548073436,0.58551135659217834,101563.00641749936,101324.79548073436,-0.00010205926085356869,23.751946478984294,1,-1,0,0,4.4628247715727776,-4,1.9790919327083334,0.00025229429109344429,1.18415,4.2968798765133059e-06,-4.2968798765133059e-06,0,0,202888.00641749936,202649.79548073438,-4,1.9790919327083334,0.00025229429109344429
8.6034731133581293,8.6034731133581293,-0,-0,42637.051931007889,0.61204366705917079,42637.051926614462,0.0069400405790312324,101368.62583735622,101324.80059410453,0.72630858421325684,101368.62583735622,101324.80059410453,-4.2601452827568941e-05,10.18780268718303,1,-1,0,0,4.4086272619659175,-4,1.8536435289583333,5.0000000000000002e-05,1.18415,4.1816134583333221e-06,-4.1816134583333221e-06,0,0,202693.6258373562,202649.80059410451,-4,1.8536435289583333,5.0000000000000002e-05
17.169606612101081,17.169606612101081,-0,-0,56817.041486815913,0.2537223841074237,56817.041486249349,0.0024900087156508053,101499.33902611525,101324.79804486204,0.76692855358123779,101499.33902611525,101324.79804486204,-8.5796810130093641e-05,20.331389669719496,1,-1,0,0,4.4263718052995848,-4,1.8954596635416665,0.00015045801909273181,1.18415,4.2199186343801624e-06,-4.2199186343801624e-06,0,0,202824.33902611525,202649.79804486205,-4,1.8954596635416665,0.00015045801909273181
20.058224447058478,20.058224447058478,-0,-0,23266.081132827148,0.026997266723086451,23266.081132811451,0.0012415751256101043,101563.00726112394,101324.79632435895,0.50150248408317566,101563.00726112394,101324.79632435895,-0.00010205926085356923,23.751946478984294,1,-1,0,0,4.4444389501548187,-4,1.9372757981249999,0.00025229429109344429,1.18415,4.2968798765133288e-06,-4.2968798765133288e-06,0,0,202888.00726112394,202649.79632435896,-4,1.9372757981249999,0.00025229429109344429
21.950291387275438,21.950291387275438,-0,-0,14564.087908989888,0.0053959687473891403,14564.087908988882,0.00042324518299923018,101610.0662699172,101324.79548091441,0.31906820088624954,101610.0662699172,101324.79548091441,-0.00011470988201916588,25.992437546242215,1,-1,0,0,4.4628247786757074,-4,1.9790919327083334,0.00035644167514031549,1.18415,4.4132021790988105e-06,-4.4132021790988105e-06,0,0,202935.06626991718,202649.79548091441,-4,1.9790919327083334,0.00035644167514031549
