X,Y,Z,Velocity_X,Velocity_Y,Velocity_Z
-3.5000000000000027,-2.0,0.0,0.0,0.0,0.0
-3.5000000000000027,-2.0,1e-09,0.0018728209411072898,0.0,0.0
-3.5000000000000027,-2.0,1.0322328543918257e-09,0.0019331873058039632,0.0,0.0
-3.5000000000000027,-2.0,1.0655046656858914e-09,0.0019954994507440597,0.0,0.0
-3.5000000000000027,-2.0,1.0998489224287555e-09,0.0020598200939788607,0.0,0.0
-3.5000000000000027,-2.0,1.1353001925984032e-09,0.0021262139751414286,0.0,0.0
-3.5000000000000027,-2.0,1.1718941583974392e-09,0.0021947479206080272,0.0,0.0
-3.5000000000000027,-2.0,1.2096676521676898e-09,0.0022654909107597382,0.0,0.0
-3.5000000000000027,-2.0,1.2486586934625126e-09,0.0023385141494122615,0.0,0.0
-3.5000000000000027,-2.0,1.2889065273139716e-09,0.0024138911354834812,0.0,0.0
-3.5000000000000027,-2.0,1.3304516637335563e-09,0.002491697736971238,0.0,0.0
-3.5000000000000027,-2.0,1.3733359184860365e-09,0.0025720122673154634,0.0,0.0
-3.5000000000000027,-2.0,1.417602455177661e-09,0.002654915564221832,0.0,0.0
-3.5000000000000027,-2.0,1.463295828700891e-09,0.002740491071025975,0.0,0.0
-3.5000000000000027,-2.0,1.5104620300795726e-09,0.002828824920680453,0.0,0.0
-3.5000000000000027,-2.0,1.5591485327595022e-09,0.002920006022448701,0.0,0.0
-3.5000000000000027,-2.0,1.6094043403911679e-09,0.0030141261513935438,0.0,0.0
-3.5000000000000027,-2.0,1.6612800361525617e-09,0.0031112800407499933,0.0,0.0
-3.5000000000000027,-2.0,1.714827833661914e-09,0.0032115654772756803,0.0,0.0
-3.5000000000000027,-2.0,1.7701016295313808e-09,0.003315083399674508,0.0,0.0
-3.5000000000000027,-2.0,1.8271570576147991e-09,0.0034219380001929748,0.0,0.0
-3.5000000000000027,-2.0,1.8860515450038855e-09,0.003532236829491035,0.0,0.0
-3.5000000000000027,-2.0,1.9468443698294735e-09,0.0036460909048934634,0.0,0.0
-3.5000000000000027,-2.0,2.0095967209257243e-09,0.0037636148221302386,0.0,0.0
-3.5000000000000027,-2.0,2.0743717594176133e-09,0.0038849268706788787,0.0,0.0
-3.5000000000000027,-2.0,2.1412346822934275e-09,0.004010149152824345,0.0,0.0
-3.5000000000000027,-2.0,2.2102527880265184e-09,0.004139407706556835,0.0,0.0
-3.5000000000000027,-2.0,2.281495544312094e-09,0.004272832632430664,0.0,0.0
-3.5000000000000027,-2.0,2.3550346579875047e-09,0.0044105582245124435,0.0,0.0
-3.5000000000000027,-2.0,2.430944147206109e-09,0.004552723105549803,0.0,0.0
-3.5000000000000027,-2.0,2.509300415937664e-09,0.00469947036649729,0.0,0.0
-3.5000000000000027,-2.0,2.5901823308699302e-09,0.004850947710539295,0.0,0.0
-3.5000000000000027,-2.0,2.673671300789129e-09,0.005007307601755448,0.0,0.0
-3.5000000000000027,-2.0,2.759851358519068e-09,0.0051687074185779135,0.0,0.0
-3.5000000000000027,-2.0,2.8488092455012835e-09,0.005335309612194862,0.0,0.0
-3.5000000000000027,-2.0,2.9406344991016126e-09,0.005507281870060046,0.0,0.0
-3.5000000000000027,-2.0,3.0354195427307216e-09,0.005684797284672408,0.0,0.0
-3.5000000000000027,-2.0,3.1332597788696625e-09,0.0058680345277963,0.0,0.0
-3.5000000000000027,-2.0,3.234253685093719e-09,0.0060571780302969384,0.0,0.0
-3.5000000000000027,-2.0,3.33850291319157e-09,0.006252418167772864,0.0,0.0
-3.5000000000000027,-2.0,3.4461123914791452e-09,0.0064539514521714655,0.0,0.0
-3.5000000000000027,-2.0,3.5571904304115586e-09,0.00666198072958122,0.0,0.0
-3.5000000000000027,-2.0,3.6718488315989946e-09,0.006876715384398932,0.0,0.0
-3.5000000000000027,-2.0,3.79020300033672e-09,0.00709837155007829,0.0,0.0
-3.5000000000000027,-2.0,3.912372061762018e-09,0.0073271723266710095,0.0,0.0
-3.5000000000000027,-2.0,4.0384789807554396e-09,0.007563348005380411,0.0,0.0
-3.5000000000000027,-2.0,4.168650685706561e-09,0.00780713630035251,0.0,0.0
-3.5000000000000027,-2.0,4.303018196269324e-09,0.008058782587938908,0.0,0.0
-3.5000000000000027,-2.0,4.441716755235031e-09,0.008318540153671287,0.0,0.0
-3.5000000000000027,-2.0,4.5848859646562535e-09,0.00858667044719713,0.0,0.0
-3.5000000000000027,-2.0,4.732669926358124e-09,0.00886344334543219,0.0,0.0
-3.5000000000000027,-2.0,4.885217386978997e-09,0.009149137424195701,0.0,0.0
-3.5000000000000027,-2.0,5.042681887685885e-09,0.009444040238600564,0.0,0.0
-3.5000000000000027,-2.0,5.20522191871596e-09,0.009748448612481916,0.0,0.0
-3.5000000000000027,-2.0,5.373001078899049e-09,0.010062668937154198,0.0,0.0
-3.5000000000000027,-2.0,5.546188240322324e-09,0.010387017479798638,0.0,0.0
-3.5000000000000027,-2.0,5.724957718302265e-09,0.01072182070179029,0.0,0.0
-3.5000000000000027,-2.0,5.90948944683566e-09,0.01106741558728636,0.0,0.0
-3.5000000000000027,-2.0,6.099969159705519e-09,0.011424149982405131,0.0,0.0
-3.5000000000000027,-2.0,6.296588577424934e-09,0.011792382945338376,0.0,0.0
-3.5000000000000027,-2.0,6.499545600206277e-09,0.012172485107748062,0.0,0.0
-3.5000000000000027,-2.0,6.709044507150756e-09,0.012564839047812772,0.0,0.0
-3.5000000000000027,-2.0,6.925296161858024e-09,0.012969839675297645,0.0,0.0
-3.5000000000000027,-2.0,7.148518224663433e-09,0.013387894629036782,0.0,0.0
-3.5000000000000027,-2.0,7.378935371716321e-09,0.01381942468722763,0.0,0.0
-3.5000000000000027,-2.0,7.616779521119513e-09,0.014264864190949779,0.0,0.0
-3.5000000000000027,-2.0,7.862290066358398e-09,0.01472466148133583,0.0,0.0
-3.5000000000000027,-2.0,8.115714117253591e-09,0.015199279350832588,0.0,0.0
-3.5000000000000027,-2.0,8.37730674868071e-09,0.015689195509008658,0.0,0.0
-3.5000000000000027,-2.0,8.647331257306558e-09,0.01619490306337535,0.0,0.0
-3.5000000000000027,-2.0,8.926059426601201e-09,0.016716911015706857,0.0,0.0
-3.5000000000000027,-2.0,9.213771800391583e-09,0.017255744774357176,0.0,0.0
-3.5000000000000027,-2.0,9.510757965233113e-09,0.01781194668309153,0.0,0.0
-3.5000000000000027,-2.0,9.817316841882328e-09,0.01838607656696251,0.0,0.0
-3.5000000000000027,-2.0,1.0133756986165136e-08,0.018978712295782362,0.0,0.0
-3.5000000000000027,-2.0,1.0460396899542301e-08,0.019590450365756587,0.0,0.0
-3.5000000000000027,-2.0,1.079756534968595e-08,0.020221906499866306,0.0,0.0
-3.5000000000000027,-2.0,1.1145601701388555e-08,0.020873716267601525,0.0,0.0
-3.5000000000000027,-2.0,1.1504856258138695e-08,0.021546535724671405,0.0,0.0
-3.5000000000000027,-2.0,1.1875690614706114e-08,0.022241042073332915,0.0,0.0
-3.5000000000000027,-2.0,1.2258478021092306e-08,0.022957934344005122,0.0,0.0
-3.5000000000000027,-2.0,1.2653603758211542e-08,0.02369793409885248,0.0,0.0
-3.5000000000000027,-2.0,1.3061465525681805e-08,0.024461786158047824,0.0,0.0
-3.5000000000000027,-2.0,1.3482473842114928e-08,0.025250259349444096,0.0,0.0
-3.5000000000000027,-2.0,1.3917052458309387e-08,0.026064147282410507,0.0,0.0
-3.5000000000000027,-2.0,1.4365638783761444e-08,0.026904269146611485,0.0,0.0
-3.5000000000000027,-2.0,1.4828684326923958e-08,0.027771470536532648,0.0,0.0
-3.5000000000000027,-2.0,1.5306655149656013e-08,0.02866662430258352,0.0,0.0
-3.5000000000000027,-2.0,1.580003233632073e-08,0.029590631429633803,0.0,0.0
-3.5000000000000027,-2.0,1.6309312478003457e-08,0.030544421943867302,0.0,0.0
-3.5000000000000027,-2.0,1.6835008172337695e-08,0.03152895584886639,0.0,0.0
-3.5000000000000027,-2.0,1.7377648539441812e-08,0.032545224091869135,0.0,0.0
-3.5000000000000027,-2.0,1.7937779754485923e-08,0.03359424956117161,0.0,0.0
-3.5000000000000027,-2.0,1.851596559742487e-08,0.03467708811567945,0.0,0.0
-3.5000000000000027,-2.0,1.9112788020450677e-08,0.03579482964764456,0.0,0.0
-3.5000000000000027,-2.0,1.972884773373565e-08,0.03694859917965722,0.0,0.0
-3.5000000000000027,-2.0,2.036476481005561e-08,0.03813955799699696,0.0,0.0
-3.5000000000000027,-2.0,2.1021179308901862e-08,0.039368904816482676,0.0,0.0
-3.5000000000000027,-2.0,2.1698751920710108e-08,0.040637876992997916,0.0,0.0
-3.5000000000000027,-2.0,2.2398164631854655e-08,0.041947751764906054,0.0,0.0
