X,Y,Z,Velocity_X,Velocity_Y,Velocity_Z
-3.5000000000000027,-2.0,0.0,0.0,0.0,0.0
-3.5000000000000027,-2.0,1e-09,0.00017859345161457335,0.0,0.0
-3.5000000000000027,-2.0,1.031394448759029e-09,0.0001842002945799852,0.0,0.0
-3.5000000000000027,-2.0,1.0637745089309414e-09,0.0001899831612895746,0.0,0.0
-3.5000000000000027,-2.0,1.0971711232427307e-09,0.0001959475779117577,0.0,0.0
-3.5000000000000027,-2.0,1.1316162058512609e-09,0.0002020992441059642,0.0,0.0
-3.5000000000000027,-2.0,1.167142672840745e-09,0.00020844403846928742,0.0,0.0
-3.5000000000000027,-2.0,1.20378447367772e-09,0.00021498802415413656,0.0,0.0
-3.5000000000000027,-2.0,1.24157662365351e-09,0.00022173745466224842,0.0,0.0
-3.5000000000000027,-2.0,1.2805552373452032e-09,0.00022869877982059902,0.0,0.0
-3.5000000000000027,-2.0,1.3207575631271435e-09,0.00023587865194492927,0.0,0.0
-3.5000000000000027,-2.0,1.3622220187658386e-09,0.00024328393219676323,0.0,0.0
-3.5000000000000027,-2.0,1.404988228132404e-09,0.0002509216971400096,0.0,0.0
-3.5000000000000027,-2.0,1.4490970590675456e-09,0.0002587992455034002,0.0,0.0
-3.5000000000000027,-2.0,1.4945906624352952e-09,0.000266924105155231,0.0,0.0
-3.5000000000000027,-2.0,1.5415125124028433e-09,0.0002753040402970766,0.0,0.0
-3.5000000000000027,-2.0,1.5899074479848765e-09,0.0002839470588833368,0.0,0.0
-3.5000000000000027,-2.0,1.6398217158922364e-09,0.0002928614202737268,0.0,0.0
-3.5000000000000027,-2.0,1.6913030147257582e-09,0.00030205564312600673,0.0,0.0
-3.5000000000000027,-2.0,1.7444005405575504e-09,0.00031153851353650047,0.0,0.0
-3.5000000000000027,-2.0,1.7991650339433068e-09,0.0003213190934361862,0.0,0.0
-3.5000000000000027,-2.0,1.8556488284104768e-09,0.0003314067292503662,0.0,0.0
-3.5000000000000027,-2.0,1.9139059004687616e-09,0.0003418110608302142,0.0,0.0
-3.5000000000000027,-2.0,1.9739919211906318e-09,0.0003525420306647178,0.0,0.0
-3.5000000000000027,-2.0,2.0359643094111798e-09,0.0003636098933818238,0.0,0.0
-3.5000000000000027,-2.0,2.099882286598201e-09,0.0003750252255478755,0.0,0.0
-3.5000000000000027,-2.0,2.165806933444801e-09,0.0003867989357746815,0.0,0.0
-3.5000000000000027,-2.0,2.2338012482387834e-09,0.0003989422751439067,0.0,0.0
-3.5000000000000027,-2.0,2.303930207064462e-09,0.00041146684795872085,0.0,0.0
-3.5000000000000027,-2.0,2.3762608258945264e-09,0.0004243846228330002,0.0,0.0
-3.5000000000000027,-2.0,2.45086222463116e-09,0.0004377079441286506,0.0,0.0
-3.5000000000000027,-2.0,2.527805693157783e-09,0.00045144954375201746,0.0,0.0
-3.5000000000000027,-2.0,2.6071647594644068e-09,0.0004656225533206272,0.0,0.0
-3.5000000000000027,-2.0,2.689015259911747e-09,0.000480240516711898,0.0,0.0
-3.5000000000000027,-2.0,2.7734354117012937e-09,0.0004953174030058194,0.0,0.0
-3.5000000000000027,-2.0,2.8605058876204265e-09,0.0005108676198339408,0.0,0.0
-3.5000000000000027,-2.0,2.950309893134227e-09,0.0005269060271474646,0.0,0.0
-3.5000000000000027,-2.0,3.042933245897486e-09,0.0005434479514175693,0.0,0.0
-3.5000000000000027,-2.0,3.138464457762948e-09,0.0005605092002815452,0.0,0.0
-3.5000000000000027,-2.0,3.2369948193642203e-09,0.0005781060776487483,0.0,0.0
-3.5000000000000027,-2.0,3.338618487353993e-09,0.0005962553992807754,0.0,0.0
-3.5000000000000027,-2.0,3.443432574381175e-09,0.0006149745088607901,0.0,0.0
-3.5000000000000027,-2.0,3.551537241892756e-09,0.0006342812945673292,0.0,0.0
-3.5000000000000027,-2.0,3.6630357958491267e-09,0.0006541942061684312,0.0,0.0
-3.5000000000000027,-2.0,3.778034785444401e-09,0.0006747322726524396,0.0,0.0
-3.5000000000000027,-2.0,3.896644104925865e-09,0.0006959151204122898,0.0,0.0
-3.5000000000000027,-2.0,4.018977098610133e-09,0.0007177629920007071,0.0,0.0
-3.5000000000000027,-2.0,4.14515066919616e-09,0.0007402967654742006,0.0,0.0
-3.5000000000000027,-2.0,4.275285389478676e-09,0.0007635379743443522,0.0,0.0
-3.5000000000000027,-2.0,4.409505617568889e-09,0.0007875088281554788,0.0,0.0
-3.5000000000000027,-2.0,4.547939615732306e-09,0.0008122322337082889,0.0,0.0
-3.5000000000000027,-2.0,4.690719672957573e-09,0.0008377318169498756,0.0,0.0
-3.5000000000000027,-2.0,4.837982231373209e-09,0.0008640319455509168,0.0,0.0
-3.5000000000000027,-2.0,4.989868016633128e-09,0.0008911577521916755,0.0,0.0
-3.5000000000000027,-2.0,5.146522172395634e-09,0.0009191351585790686,0.0,0.0
-3.5000000000000027,-2.0,5.308094399024115e-09,0.0009479909002177011,0.0,0.0
-3.5000000000000027,-2.0,5.474739096642367e-09,0.0009777525519586113,0.0,0.0
-3.5000000000000027,-2.0,5.646615512680959e-09,0.0010084485543500861,0.0,0.0
-3.5000000000000027,-2.0,5.823887894055736e-09,0.0010401082408157427,0.0,0.0
-3.5000000000000027,-2.0,6.006725644123998e-09,0.0010727618656858763,0.0,0.0
-3.5000000000000027,-2.0,6.195303484567995e-09,0.0011064406331087917,0.0,0.0
